date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-07-02,50.3525009,50.7825012,50.3400002,50.6824989,49.4669304,67740800.0,67740800.0,-0.8855700000000001,-1.759,50.19648,"July 02, 19",-0.01759
2019-07-03,50.8199997,51.1100006,50.6725006,51.1025009,49.8768578,45448000.00000001,45448000.00000001,-0.94314,-1.856,50.55312,"July 03, 19",-0.01856
2019-07-05,50.8375015,51.2700005,50.7249985,51.0574989,49.8329353,69062000.0,69062000.0,-1.00457,-1.976,50.60931,"July 05, 19",-0.01976
2019-07-08,50.2024994,50.3499985,49.6025009,50.0050011,48.8056831,101354400.0,101354400.0,-1.39682,-2.782,49.58606,"July 08, 19",-0.02782
2019-07-09,49.7999992,50.3774986,49.7024994,50.3100014,49.1033707,82312000.0,82312000.0,-0.6966300000000001,-1.399,49.72779,"July 09, 19",-0.01399
2019-07-10,50.4625015,50.9324989,50.3899994,50.8074989,49.5889359,71588400.0,71588400.0,-0.8735700000000001,-1.731,50.30381,"July 10, 19",-0.01731
2019-07-11,50.8274994,51.0974998,50.4275017,50.4375,49.2278061,80767200.0,80767200.0,-1.59969,-3.147,50.25094,"July 11, 19",-0.03147
2019-07-12,50.6124992,51.0,50.5499992,50.8250008,49.6060104,70380800.0,70380800.0,-1.00649,-1.989,50.38534,"July 12, 19",-0.01989
2019-07-15,51.0224991,51.4674988,51.0,51.3025017,50.0720596,67789600.0,67789600.0,-0.95044,-1.863,50.84652,"July 15, 19",-0.01863
2019-07-16,51.1474991,51.5275002,50.875,51.125,49.8988113,67467200.0,67467200.0,-1.24869,-2.441,50.7671,"July 16, 19",-0.02441
2019-07-17,51.0125008,51.2724991,50.8175011,50.8375015,49.6182213,56430000.0,56430000.0,-1.39428,-2.733,50.56941,"July 17, 19",-0.02733
2019-07-18,51.0,51.4700012,50.9249992,51.4150009,50.1818657,74162400.0,74162400.0,-0.81813,-1.604,50.85896,"July 18, 19",-0.01604
2019-07-19,51.4474983,51.625,50.5900002,50.6474991,49.4327698,83717200.0,83717200.0,-2.01473,-3.916,50.54926,"July 19, 19",-0.03916
2019-07-22,50.9124985,51.8074989,50.9025002,51.8050003,50.5625076,89111600.0,89111600.0,-0.34999,-0.687,51.09084,"July 22, 19",-0.00687
2019-07-23,52.1150017,52.2275009,51.8224983,52.2099991,50.957798,73420800.0,73420800.0,-1.1572,-2.22,51.66927,"July 23, 19",-0.0222
2019-07-24,51.9174995,52.2874985,51.7924995,52.1674995,50.916317,59966400.0,59966400.0,-1.00118,-1.928,51.66544,"July 24, 19",-0.01928
2019-07-25,52.2224998,52.3100014,51.6824989,51.7550011,50.5137138,55638400.0,55638400.0,-1.70879,-3.272,51.50207,"July 25, 19",-0.03272
